,title,channel,running_time,watch_date,watch_time,category,watched_YN
157,강타아아아아-△- | T1 vs. 디플기아 게임1 하이라이트 | 01.28 | 2023 LCK 스프링 스플릿,LCK,9:45,2023-01-28,오후 5:45,,1
158,위쳐 3 DLC 하츠 오브 스톤 스토리 요약,모험러의 어드벤처,9:17,2023-01-28,오후 2:32,,1
159,자존감 낮은 사람들이 SNS에 사진 올리고 꼭 하는 행동,책식주의,5:52,2023-01-28,오후 1:39,,1
160,"'GOAT' 페이커의 역대급 신기록 달성, 그리고 T1의 변화점은? [T1 vs KT]",플레임[이호종],27:57,2023-01-28,오후 1:20,,1
161,한화는 왜 약팀이 되었는가 [HLE vs KT],플레임[이호종],21:04,2023-01-28,오후 12:58,,1
162,"위쳐3 4화 와일드헌트와 최종전투, 하츠 오브 스톤 DLC (한국어 풀더빙) The Witcher 3 22.12.19(월)",올냥이 AllTopCAT,7:53:35,2023-01-28,오전 10:30,,1
163,"[더 위쳐 3: 와일드 헌트] 14, DLC 하츠오브스톤 엔딩, 블러드앤와인 도입","눈부신 다시보기, 클립 (기록용)",4:25:57,2023-01-28,오전 10:30,,1
164,솔랭에서는 얼마나 셀까..? 자연재해급 구케 듀오 [Gumayusi Stream Highlight],T1 Gumayusi,7:13,2023-01-27,오후 8:59,,1
165,2월의 스팀 기대작들 초대박입니다. 전세계 스팀 유저들이 기다리는 2월의 신작게임들 추천!,말 많은 게이머 듀리,13:23,2023-01-27,오후 8:30,,1
166,역전강타 | 디알엑스 vs. 농심 게임1 하이라이트 | 01.27 | 2023 LCK 스프링 스플릿,LCK,11:56,2023-01-27,오후 7:44,,1
167,카트라이더에 용준좌가 돌아왔습니다. | 카트라이더 The And 1회,KARTRIDER,19:45,2023-01-27,오후 6:03,,1
168,"(ko) 각자도생의 시대, ‘인구’를 알아야 내일이 있다 ㅣ 전영수 ‘대한민국 인구트렌드 2022-2025’ 저자, 한양대 국제학대학원 교수 | 인구절벽 | 세바시 1486회",세바시 강연 Sebasi Talk,18:46,2023-01-27,오후 6:03,,0
169,[현장 카메라]지원자 0명 학과…꽃잎 지듯 대학도 질라 | 뉴스A,채널A 뉴스,3:41,2023-01-27,오후 5:59,,1
170,"누르면 시간 훅~간다ㅋ ""리스항구에서 셀라스 까지 걸어가기"" [메이플스토리]",대대장,12:25,2023-01-27,오후 5:19,,0
171,"🚨[신작 카트라이더 모바일] ""이거.. PC유저 이길 수 있나요?"" 처음 연습하다가 랭킹 찍음ㅋㅋㅋㅋㅋㅋㅋㅋ",형독방송,12:10,2023-01-27,오후 5:15,,0
172,블리자드 82조 딜을 막아서는 101개의 세력들,김성회의 G식백과,14:04,2023-01-27,오후 5:13,,0
173,[더 리니지? 쓰론 앤 리버티?] 엔씨신작 친자확인 들어갑니다,김성회의 G식백과,11:58,2023-01-27,오후 5:07,,0
174,"""집 왜 샀어..?"" 소리 듣는 요즘, 실수요자 분위기는 이렇습니다 [러셀 1부]",부읽남TV_내집마련부터건물주까지,22:36,2023-01-27,오후 4:56,,1
