,searchword,search_date,search_time
241,https://www.youtube.com/watch?v=MPOtrPFdK1U,2023-01-22,오후 11:12
242,게임을 삽시다,2023-01-21,오후 1:59
243,영레기,2023-01-20,오후 7:00
244,명예훈장,2023-01-19,오후 12:38
245,자연어처리,2023-01-16,오후 5:06
246,면접왕이형 지원동기,2023-01-15,오후 3:32
247,fasttext,2023-01-14,오후 4:10
248,부트캠프,2023-01-14,오후 3:43
249,natural language understanding,2023-01-14,오후 3:13
250,자연어처리,2023-01-14,오후 3:00
251,부트캠프 메타코드M,2023-01-14,오후 1:23
252,부트캠프,2023-01-14,오후 1:23
253,깃허브,2023-01-14,오전 12:34
254,자기소개서,2023-01-12,오전 10:10
255,사망 여우,2023-01-12,오전 8:42
256,호갱구조대,2023-01-10,오후 4:03
257,사망여우,2023-01-10,오후 4:03
258,https://swjungle.net/?utm_source=youtube&utm_me...,2023-01-10,오전 10:39
259,산학협력,2023-01-10,오전 9:17
260,https://www.youtube.com/watch?v=2pclkExbNqI,2023-01-10,오전 9:06
261,면접왕 이형,2023-01-10,오전 8:45
262,https://www.youtube.com/watch?v=75c-rRyK3Lk,2023-01-10,오전 8:27
263,취준생이 반드시 알아야 할,2023-01-09,오후 3:36
264,취준생 역할이론,2023-01-09,오후 3:35
265,취준생이 반드시 알아야 할 역할이론,2023-01-09,오후 3:35
266,메이플 이득충,2023-01-09,오후 1:58
267,ndc,2023-01-07,오후 8:58
268,데이터 리터러시,2023-01-07,오후 8:21
269,https://www.youtube.com/watch?v=kot6syiIs0U,2023-01-07,오후 7:49
270,https://www.classu.co.kr/class/classDetail/1405...,2023-01-07,오후 7:49
271,위러브,2023-01-04,오후 10:56
272,생명의 빛,2023-01-04,오후 10:50
273,머신러닝 분류 프로젝트 발표,2023-01-04,오후 6:07
274,머신러닝 프로젝트 발표,2023-01-04,오후 6:02
275,머신러닝 프로젝트,2023-01-04,오후 4:10
276,머신러닝 프로젝트 분류,2023-01-04,오후 2:30
277,머신러닝 프로젝트,2023-01-04,오후 2:23
278,남자 취업사진 머리 손질,2023-01-02,오전 11:44
279,남자 취업 머리 손질,2023-01-02,오전 11:44
280,송길영,2023-01-02,오전 9:55
281,영레기,2023-01-02,오전 9:11
282,https://www.youtube.com/watch?v=o61LUlA51HE,2023-01-01,오후 1:48
283,닭이 뛰노는 곳 와헌,2022-12-31,오후 8:44
284,팡이요,2022-12-30,오후 3:58
285,세글자,2022-12-30,오후 3:35
286,팍플레이,2022-12-30,오후 3:34
287,팡이요,2022-12-29,오전 12:44
288,https://www.youtube.com/watch?v=cqc3d_8pEhI,2022-12-29,오전 12:00
289,https://www.youtube.com/watch?v=KDxgxengEYs,2022-12-28,오후 11:30
290,https://www.youtube.com/watch?v=6w_blk3zvwE,2022-12-28,오후 11:11
291,https://www.youtube.com/watch?v=-TI5NUIiIy0,2022-12-28,오후 10:08
292,파카,2022-12-28,오후 8:53
293,curiosity driven supermario,2022-12-28,오후 8:20
294,curiosity learning supermario,2022-12-28,오후 8:14
295,메타코드 M,2022-12-28,오후 4:59
296,파카,2022-12-28,오전 1:46
297,"플레임위젇, 스우",2022-12-27,오후 10:18
298,"플레임의젇, 검마",2022-12-27,오후 10:18
299,김수호,2022-12-27,오후 10:16
300,페이지,2022-12-27,오후 10:13
301,세글자,2022-12-27,오후 10:12
302,발젭,2022-12-27,오후 10:11
303,ㅏㅇ이요,2022-12-27,오후 10:11
304,차세대,2022-12-27,오후 10:10
305,ㅊㅏ세대,2022-12-27,오후 10:10
306,Rtx3080ti vs gtx1060,2022-12-27,오후 1:36
307,Rtx 4090,2022-12-27,오후 1:36
308,랄로,2022-12-27,오후 12:53
309,파카,2022-12-27,오후 12:53
310,사망여우,2022-12-27,오후 12:53
311,https://www.youtube.com/watch?v=fJVT8GkH81E,2022-12-25,오후 2:23
312,이득충,2022-12-25,오전 2:46
313,https://www.youtube.com/watch?v=X1AHTcEAeuc,2022-12-25,오전 1:33
314,랄로,2022-12-25,오전 1:33
315,파카,2022-12-25,오전 1:33
316,부트캠프 창,2022-12-25,오전 1:32
317,https://www.youtube.com/watch?v=FP6H7ZlQE7M,2022-12-24,오후 6:05
318,ms power bi,2022-12-24,오후 2:36
319,메타코드M,2022-12-24,오후 2:06
320,https://www.youtube.com/watch?v=KaaI_8oOyX8,2022-12-24,오후 1:36
321,김경일 무의식,2022-12-24,오후 1:36
