,searchword,search_date,search_time,account
213,https://plusxsharex.fastcampus.co.kr/?utm_source=youtube&utm_medium=display&utm_campaign=prd^221221^main&utm_content=...,2023-02-02,오후 5:45,woghks.study
214,https://www.youtube.com/watch?v=qAC3ra0zBC0,2023-02-02,오후 4:13,woghks.study
215,현우진,2023-02-01,오후 7:57,woghks.study
216,https://www.youtube.com/watch?v=4ge3KINxhhA,2023-02-01,오후 7:56,woghks.study
217,울프 분석데스크,2023-02-01,오후 7:52,woghks.study
218,울프 분석,2023-02-01,오후 7:52,woghks.study
219,울프,2023-02-01,오후 7:51,woghks.study
220,데이터 포트폴리오,2023-02-01,오후 3:50,woghks.study
221,https://www.youtube.com/watch?v=1tG0wCLzsrU,2023-02-01,오후 1:38,woghks.study
222,기업제안,2023-02-01,오전 11:16,woghks.study
223,마약 뉴스,2023-02-01,오전 1:15,woghks.study
224,마약,2023-02-01,오전 1:15,woghks.study
225,중독,2023-02-01,오전 1:14,woghks.study
226,마약 중독,2023-02-01,오전 1:14,woghks.study
227,CX,2023-01-31,오후 11:28,woghks.study
228,https://www.youtube.com/watch?v=WsjXyGe6jmM,2023-01-31,오후 8:45,woghks.study
229,분석가,2023-01-31,오전 9:54,woghks.study
230,옥냥이,2023-01-31,오전 9:53,woghks.study
231,아리연습중,2023-01-31,오전 9:53,woghks.study
232,세글자,2023-01-31,오전 9:53,woghks.study
233,데이터드리븐,2023-01-31,오전 9:52,woghks.study
234,병병병,2023-01-31,오전 9:51,woghks.study
235,만 당,2023-01-31,오전 9:51,woghks.study
236,발 젭,2023-01-31,오전 9:51,woghks.study
237,팡이요,2023-01-31,오전 9:51,woghks.study
238,팍플레이,2023-01-31,오전 9:51,woghks.study
239,야옹해 바바,2023-01-31,오전 9:50,woghks.study
240,lck,2023-01-31,오전 9:50,woghks.study
241,교육운영매니저,2023-01-30,오후 11:26,woghks.study
242,기업 선택 기준,2023-01-30,오전 9:04,woghks.study
243,망하는 회사 특징,2023-01-30,오전 9:04,woghks.study
244,회사,2023-01-30,오전 9:04,woghks.study
245,5WHY,2023-01-29,오후 2:37,woghks.study
246,do good with data,2023-01-29,오후 2:10,woghks.study
247,do good with data let's talk about,2023-01-29,오후 2:10,woghks.study
248,면접왕 이형  필살기,2023-01-29,오후 12:35,woghks.study
249,면접왕 이형  자기소개서,2023-01-29,오후 12:35,woghks.study
250,면접왕 이형,2023-01-29,오후 12:29,woghks.study
251,데이터분석가 포트폴리오,2023-01-29,오전 10:55,woghks.study
252,lck,2023-01-28,오후 5:45,woghks.study
253,하츠 오브 스톤,2023-01-28,오전 10:19,woghks.study
254,메이플스토리,2023-01-27,오후 5:18,woghks.study
255,https://www.youtube.com/watch?v=MDyPARQ1xy8,2023-01-27,오후 5:18,woghks.study
256,G식백과,2023-01-27,오후 5:07,woghks.study
257,킥오프,2023-01-27,오후 4:33,woghks.study
258,페이커 노스킨,2023-01-27,오후 4:12,woghks.study
259,Lck,2023-01-27,오후 4:04,woghks.study
260,팍플레이,2023-01-27,오후 4:04,woghks.study
261,표식,2023-01-27,오후 3:54,woghks.study
262,포식,2023-01-27,오후 3:50,woghks.study
263,퇴사한 이형,2023-01-25,오후 5:59,woghks.study
264,교육운영 직무,2023-01-25,오후 5:30,woghks.study
265,교육운영 포트폴리오,2023-01-25,오후 5:30,woghks.study
266,직업의모든것,2023-01-25,오후 5:04,woghks.study
267,취업포트폴리오,2023-01-25,오후 4:59,woghks.study
268,김달,2023-01-25,오후 3:58,woghks.study
269,ces 2023,2023-01-25,오후 1:01,woghks.study
270,뻘짓연구소 맥북,2023-01-24,오전 8:21,woghks.study
271,뻘짓연구소,2023-01-24,오전 8:21,woghks.study
272,https://www.youtube.com/watch?v=MPOtrPFdK1U,2023-01-22,오후 11:12,woghks.study
273,게임을 삽시다,2023-01-21,오후 1:59,woghks.study
274,영레기,2023-01-20,오후 7:00,woghks.study
275,자연어처리,2023-01-16,오후 5:06,woghks.study
276,면접왕이형 지원동기,2023-01-15,오후 3:32,woghks.study
277,fasttext,2023-01-14,오후 4:10,woghks.study
278,부트캠프,2023-01-14,오후 3:43,woghks.study
279,natural language understanding,2023-01-14,오후 3:13,woghks.study
280,자연어처리,2023-01-14,오후 3:00,woghks.study
281,부트캠프 메타코드M,2023-01-14,오후 1:23,woghks.study
282,부트캠프,2023-01-14,오후 1:23,woghks.study
283,깃허브,2023-01-14,오전 12:34,woghks.study
284,자기소개서,2023-01-12,오전 10:10,woghks.study
285,사망 여우,2023-01-12,오전 8:42,woghks.study
286,호갱구조대,2023-01-10,오후 4:03,woghks.study
287,사망여우,2023-01-10,오후 4:03,woghks.study
288,https://swjungle.net/?utm_source=youtube&utm_medium=display&utm_campaign=19470144457&utm_content=etc&utm_term=etc,2023-01-10,오전 10:39,woghks.study
289,산학협력,2023-01-10,오전 9:17,woghks.study
290,https://www.youtube.com/watch?v=2pclkExbNqI,2023-01-10,오전 9:06,woghks.study
291,면접왕 이형,2023-01-10,오전 8:45,woghks.study
292,https://www.youtube.com/watch?v=75c-rRyK3Lk,2023-01-10,오전 8:27,woghks.study
293,취준생이 반드시 알아야 할,2023-01-09,오후 3:36,woghks.study
294,취준생 역할이론,2023-01-09,오후 3:35,woghks.study
295,취준생이 반드시 알아야 할 역할이론,2023-01-09,오후 3:35,woghks.study
296,메이플 이득충,2023-01-09,오후 1:58,woghks.study
297,ndc,2023-01-07,오후 8:58,woghks.study
298,데이터 리터러시,2023-01-07,오후 8:21,woghks.study
299,https://www.youtube.com/watch?v=kot6syiIs0U,2023-01-07,오후 7:49,woghks.study
300,https://www.classu.co.kr/class/classDetail/14059?utm_source=유튜브&utm_campaign=김교포_영어&utm_content=김교포오티_앨런,2023-01-07,오후 7:49,woghks.study
301,위러브,2023-01-04,오후 10:56,woghks.study
302,생명의 빛,2023-01-04,오후 10:50,woghks.study
303,머신러닝 분류 프로젝트 발표,2023-01-04,오후 6:07,woghks.study
304,머신러닝 프로젝트 발표,2023-01-04,오후 6:02,woghks.study
305,머신러닝 프로젝트,2023-01-04,오후 4:10,woghks.study
306,머신러닝 프로젝트 분류,2023-01-04,오후 2:30,woghks.study
307,머신러닝 프로젝트,2023-01-04,오후 2:23,woghks.study
308,남자 취업사진 머리 손질,2023-01-02,오전 11:44,woghks.study
309,남자 취업 머리 손질,2023-01-02,오전 11:44,woghks.study
310,송길영,2023-01-02,오전 9:55,woghks.study
311,영레기,2023-01-02,오전 9:11,woghks.study
312,https://www.youtube.com/watch?v=o61LUlA51HE,2023-01-01,오후 1:48,woghks.study
313,닭이 뛰노는 곳 와헌,2022-12-31,오후 8:44,woghks.study
314,팡이요,2022-12-30,오후 3:58,woghks.study
315,세글자,2022-12-30,오후 3:35,woghks.study
316,팍플레이,2022-12-30,오후 3:34,woghks.study
317,팡이요,2022-12-29,오전 12:44,woghks.study
318,https://www.youtube.com/watch?v=cqc3d_8pEhI,2022-12-29,오전 12:00,woghks.study
319,https://www.youtube.com/watch?v=KDxgxengEYs,2022-12-28,오후 11:30,woghks.study
320,https://www.youtube.com/watch?v=6w_blk3zvwE,2022-12-28,오후 11:11,woghks.study
